"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
95	"Cambodia"	116	6.2940	6.2940	6.2910	6.2160	5.5350	4.7000	6.6000	6.0000	5.5490	4.4500	3.4060	2.9620	2.7000	2.5270	2.3850	2.2670	2.1650	2.0760	1.9970	1.9270
96	"Indonesia"	360	5.4860	5.6720	5.6200	5.5680	5.3000	4.7300	4.1090	3.4000	2.9000	2.5500	2.3810	2.1860	2.0180	1.8800	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
97	"Lao People's Dem. Republic"	418	6.1000	6.0000	6.0000	6.0000	6.0000	6.0000	6.2500	6.2000	5.8000	5.2470	3.9345	3.5432	3.1853	2.9070	2.6901	2.5173	2.3761	2.2578	2.1568	2.0689
98	"Malaysia"	458	6.8330	6.9440	6.7240	5.9410	5.1500	4.1610	4.2420	3.9960	3.4700	3.1000	2.8540	2.5800	2.3540	2.1620	1.9970	1.8690	1.8500	1.8500	1.8500	1.8500
99	"Myanmar"	104	6.0000	6.0000	6.1000	6.1000	5.9000	5.1000	4.6000	3.8000	3.1000	2.6500	2.4470	2.3170	2.2080	2.1130	2.0310	1.9580	1.8920	1.8510	1.8500	1.8500
100	"Philippines"	608	7.2900	7.1300	6.8500	6.5000	6.0000	5.5000	4.9500	4.5500	4.1430	3.7250	3.3390	3.1100	2.8470	2.6440	2.4820	2.3480	2.2350	2.1370	2.0510	1.9750
101	"Singapore"	702	6.4000	5.9900	4.9300	3.4600	2.6200	1.8700	1.6900	1.7100	1.7600	1.5700	1.3580	1.2680	1.2850	1.3350	1.3850	1.4350	1.4850	1.5350	1.5850	1.6350
102	"Thailand"	764	6.3450	6.3450	6.3440	5.9850	5.0520	3.9150	2.9450	2.3000	2.0530	1.8590	1.8100	1.8097	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
103	"Timor-Leste"	626	6.4410	6.3530	6.3710	6.1560	6.1500	4.3050	5.3900	5.2090	5.6850	7.0050	6.9550	6.5250	6.0020	5.4860	4.9120	4.3170	3.7770	3.3480	3.0260	2.7840
104	"Viet Nam"	704	5.7480	6.5480	7.2480	7.2450	6.6970	5.8880	4.4950	4.0230	3.3000	2.5000	2.2500	2.0800	1.9450	1.8520	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
105	"Western Asia"	922	6.3320	6.0753	6.0554	5.9492	5.6564	5.2756	4.9787	4.4632	4.0349	3.5967	3.1791	2.9523	2.7617	2.5851	2.4261	2.2941	2.1877	2.0953	2.0336	1.9823
106	"Armenia"	51	4.4940	4.4940	4.4530	3.4470	3.0370	2.5030	2.3760	2.5750	2.3800	1.7500	1.7210	1.7350	1.7850	1.8340	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
107	"Azerbaijan"	31	5.4930	5.4100	5.6370	4.9350	4.2890	3.6240	3.0360	2.9500	2.9000	2.2000	2.0000	2.1560	2.1160	2.0330	1.9600	1.8940	1.8520	1.8500	1.8500	1.8500
108	"Bahrain"	48	6.9700	6.9700	7.1750	6.9700	5.9450	5.2280	4.6330	4.0800	3.3620	2.7600	2.5060	2.2920	2.1090	1.9510	1.8530	1.8500	1.8500	1.8500	1.8500	1.8500
109	"Cyprus"	196	3.7050	3.4980	3.4360	2.7950	2.4900	2.2870	2.4490	2.4280	2.3600	1.9190	1.6090	1.5200	1.5450	1.5950	1.6450	1.6950	1.7450	1.7950	1.8410	1.8500
