"Index"	"Major area, region, country or area"	"country_code"	"reg_code"	"reg_name"	"area_code"	"area_name"	"location_type"	"include_code"
260	"Niue"	570	957	"Polynesia"	909	"Oceania"	4	2
261	"Pitcairn"	612	957	"Polynesia"	909	"Oceania"	4	2
262	"Samoa"	882	957	"Polynesia"	909	"Oceania"	4	2
263	"Tokelau"	772	957	"Polynesia"	909	"Oceania"	4	2
264	"Tonga"	776	957	"Polynesia"	909	"Oceania"	4	2
265	"Tuvalu"	798	957	"Polynesia"	909	"Oceania"	4	2
266	"Wallis and Futuna Islands"	876	957	"Polynesia"	909	"Oceania"	4	2
267	"AIDS: All countries"	981	981	"AIDS: All countries"	981	"AIDS: All countries"	12	0
268	"AIDS: More developed regions"	978	978	"AIDS: More developed regions"	981	"AIDS: All countries"	12	0
269	"AIDS: Less developed regions"	979	979	"AIDS: Less developed regions"	981	"AIDS: All countries"	12	0
270	"AIDS: Least developed countries"	980	980	"AIDS: Least developed countries"	981	"AIDS: All countries"	12	0
271	"AIDS: Less than 1 per cent"	974	974	"AIDS: Less than 1 per cent"	981	"AIDS: All countries"	12	0
272	"AIDS: Between 1 and 5 per cent"	973	973	"AIDS: Between 1 and 5 per cent"	981	"AIDS: All countries"	12	0
273	"AIDS: Between 5 and 10 per cent"	972	972	"AIDS: Between 5 and 10 per cent"	981	"AIDS: All countries"	12	0
274	"AIDS: Between 10 and 20 per cent"	971	971	"AIDS: Between 10 and 20 per cent"	981	"AIDS: All countries"	12	0
275	"AIDS: More than or equal to 20 per cent"	970	970	"AIDS: More than or equal to 20 per cent"	981	"AIDS: All countries"	12	0
276	"AIDS: African countries"	975	975	"AIDS: African countries"	981	"AIDS: All countries"	12	0
277	"AIDS: Asian countries"	976	976	"AIDS: Asian countries"	981	"AIDS: All countries"	12	0
278	"AIDS: European countries"	982	982	"AIDS: European countries"	981	"AIDS: All countries"	12	0
279	"AIDS: Latin American and Caribbean countries"	977	977	"AIDS: Latin American and Caribbean countries"	981	"AIDS: All countries"	12	0
280	"AIDS: North American countries"	983	983	"AIDS: North American countries"	981	"AIDS: All countries"	12	0
281	"AIDS: Oceanian countries"	984	984	"AIDS: Oceanian countries"	981	"AIDS: All countries"	12	0
