Country.or.area,ISO.code,Year,DataValue,DataProcess,Estimating.Methods
Argentina,32,1988.5,2.94, Others,Direct
Argentina,32,1991.5,2.95, Others,Direct
Argentina,32,1993.5,2.71, Others,Direct
Argentina,32,1994.5,2.67, Others,Direct
Argentina,32,1995.5,2.63, Others,Direct
Argentina,32,2000.5,2.35, Others,Direct
Argentina,32,2003.5,2.41, Others,Direct
Argentina,32,2004.5,2.5, Others,Direct
Argentina,32,2005.5,2.39, Others,Direct
Argentina,32,1990.5,2.9, Others,Direct
Argentina,32,2006.5,2.3, Others,Direct
Argentina,32,2007.5,2.29, Others,Direct
Argentina,32,2010.5,2.38,VR,Direct
Argentina,32,1954.5,3.09,VR,Direct
Argentina,32,1955.5,3.07,VR,Direct
Argentina,32,1956.5,3.13,VR,Direct
Argentina,32,1957.5,3.13,VR,Direct
Argentina,32,1958.5,3.06,VR,Direct
Argentina,32,1959.5,3.05,VR,Direct
Argentina,32,1960.5,3.01,VR,Direct
Argentina,32,1961.5,2.99,VR,Direct
Argentina,32,1962.5,3.06,VR,Direct
Argentina,32,1963.5,3.03,VR,Direct
Argentina,32,1964.5,3.03,VR,Direct
Argentina,32,1965.5,2.9,VR,Direct
Argentina,32,1966.5,2.85,VR,Direct
Argentina,32,1968.5,2.86,VR,Direct
Argentina,32,1969.5,3.31,VR,Direct
Argentina,32,1970.5,3.05,VR,Direct
Argentina,32,1979.5,3.42,VR,Direct
Argentina,32,1980.5,3.33,VR,Direct
Argentina,32,1981.5,3.21,VR,Direct
Argentina,32,1982.5,3.1,VR,Direct
Argentina,32,1983.5,3.02,VR,Direct
Argentina,32,1984.5,2.88,VR,Direct
Argentina,32,1985.5,2.92,VR,Direct
Argentina,32,1986.5,2.98,VR,Direct
Argentina,32,1987.5,2.91,VR,Direct
Argentina,32,1988.5,2.93,VR,Direct
Argentina,32,1989.5,2.83,VR,Direct
Argentina,32,1990.5,2.84,VR,Direct
Argentina,32,1991.5,2.86,VR,Direct
Argentina,32,1992.5,2.75,VR,Direct
Argentina,32,1993.5,2.66,VR,Direct
Argentina,32,1994.5,2.63,VR,Direct
Argentina,32,1995.5,2.53,VR,Direct
Argentina,32,1996.5,2.55,VR,Direct
Argentina,32,1997.5,2.57,VR,Direct
Argentina,32,1998.5,2.5,VR,Direct
Argentina,32,1999.5,2.47,VR,Direct
Argentina,32,2000.5,2.48,VR,Direct
Argentina,32,2001.5,2.38,VR,Direct
Argentina,32,2002.5,2.39,VR,Direct
Argentina,32,2003.5,2.38,VR,Direct
Argentina,32,2004.5,2.48,VR,Direct
Argentina,32,2005.5,2.37,VR,Direct
Argentina,32,2006.5,2.28,VR,Direct
Argentina,32,2007.5,2.27,VR,Direct
Argentina,32,2008.5,2.39,VR,Direct
Argentina,32,2009.5,2.36,VR,Direct
Argentina,32,2012.5,2.28,VR,Direct
Argentina,32,2013.5,2.32,VR,Direct
Australia,36,1950.5,3.07,VR,Unknown
Australia,36,1951.5,3.06,VR,Unknown
Australia,36,1952.5,3.18,VR,Unknown
Australia,36,1953.5,3.19,VR,Unknown
Australia,36,1954.5,3.19,VR,Unknown
Australia,36,1955.5,3.28,VR,Unknown
Australia,36,1956.5,3.33,VR,Unknown
Australia,36,1957.5,3.42,VR,Unknown
Australia,36,1958.5,3.42,VR,Unknown
Australia,36,1959.5,3.44,VR,Unknown
Australia,36,1960.5,3.45,VR,Unknown
